Sample.Time,Time,Sample,Colony,Community,Treatment,Repli,C.SH,D.SH,tot.SH,logTot.SH,logC.SH,logD.SH,D.Prp,ID
T2_S1-30,T2,S1-30,S1,DC,N,R2,3.10E-005,6.44E-006,3.75E-005,-4.4264,-4.5084,-5.1911,0.1719,T2_S1-30.P21_Ssid_T2_N_R2.csv
T2_S1-8,T2,S1-8,S1,DC,N,R2,6.50E-005,3.74E-005,1.02E-004,-3.9894,-4.1868,-4.4267,0.3653,T2_S1-8.P21_Ssid_T2_N_R2.csv
T2_S2-18,T2,S2-18,S2,D,N,R2,0.00E+000,7.53E-004,7.53E-004,-3.1232,NA,-3.1232,1.0000,T2_S2-18.P21_Ssid_T2_N_R2.csv
T2_S2-7,T2,S2-7,S2,D,N,R2,0.00E+000,1.92E-004,1.92E-004,-3.7159,NA,-3.7159,1.0000,T2_S2-7.P21_Ssid_T2_N_R2.csv
T2_S3-25,T2,S3-25,S3,D,N,R2,2.86E-006,2.03E-004,2.15E-004,-3.6675,-5.5433,-3.6921,0.9449,T2_S3-25.P21_Ssid_T2_N_R2.csv
T2_S3-30,T2,S3-30,S3,DC,N,R2,3.87E-005,1.75E-004,2.19E-004,-3.6604,-4.4125,-3.7573,0.7999,T2_S3-30.P21_Ssid_T2_N_R2.csv
T2_S4-22,T2,S4-22,S4,DC,N,R2,1.85E-004,2.70E-005,2.13E-004,-3.6726,-3.7317,-4.5685,0.1271,T2_S4-22.P21_Ssid_T2_N_R2.csv
T2_S4-7,T2,S4-7,S4,DC,N,R2,3.65E-004,1.94E-004,5.59E-004,-3.2525,-3.4376,-3.7120,0.3471,T2_S4-7.P21_Ssid_T2_N_R2.csv
T2_S5-17,T2,S5-17,S5,D,N,R2,0.00E+000,1.01E-003,1.01E-003,-2.9972,NA,-2.9972,1.0000,T2_S5-17.P21_Ssid_T2_N_R2.csv
T2_S5-18,T2,S5-18,S5,D,N,R2,5.86E-005,7.11E-004,7.70E-004,-3.1136,-4.2321,-3.1480,0.9239,T2_S5-18.P21_Ssid_T2_N_R2.csv
T2_S6-27,T2,S6-27,S6,DC,N,R2,1.49E-004,1.18E-004,2.66E-004,-3.5745,-3.8273,-3.9298,0.4413,T2_S6-27.P26_Ssid_T1_NP_R1.csv
T2_S6-29,T2,S6-29,S6,D,N,R2,0.00E+000,3.53E-003,3.53E-003,-2.4524,NA,-2.4524,1.0000,T2_S6-29.P21_Ssid_T2_N_R2.csv
T2_S1-15,T2,S1-15,S1,DC,NP,R1,2.31E-005,3.36E-006,2.64E-005,-4.5778,-4.6368,-5.4741,0.1270,T2_S1-15.P28_Ssid_T2_NP_R2.csv
T2_S1-24,T2,S1-24,S1,C,NP,R1,2.70E-005,0.00E+000,2.70E-005,-4.5681,-4.5681,NA,0.0000,T2_S1-24.P25_Ssid_T2_NP_R1.csv
T2_S2-3,T2,S2-3,S2,D,NP,R1,0.00E+000,2.17E-004,2.17E-004,-3.6626,NA,-3.6626,1.0000,T2_S2-3.P25_Ssid_T2_NP_R1.csv
T2_S2-9,T2,S2-9,S2,D,NP,R1,0.00E+000,3.19E-004,3.19E-004,-3.4960,NA,-3.4960,1.0000,T2_S2-9.P25_Ssid_T2_NP_R1.csv
T2_S3-21,T2,S3-21,S3,DC,NP,R1,1.28E-004,1.21E-004,2.54E-004,-3.5945,-3.8930,-3.9158,0.4772,T2_S3-21.P25_Ssid_T2_NP_R1.csv
T2_S3-26,T2,S3-26,S3,D,NP,R1,2.27E-005,2.48E-004,2.71E-004,-3.5670,-4.6435,-3.6050,0.9162,T2_S3-26.P25_Ssid_T2_NP_R1.csv
T2_S4-1,T2,S4-1,S4,C,NP,R1,2.20E-004,3.62E-006,2.24E-004,-3.6501,-3.6572,-5.4417,0.0162,T2_S4-1.P25_Ssid_T2_NP_R1.csv
T2_S4-2,T2,S4-2,S4,DC,NP,R1,6.36E-004,1.37E-004,7.73E-004,-3.1120,-3.1965,-3.8646,0.1768,T2_S4-2.P27_Ssid_T1_NP_R2.csv
T2_S5-1,T2,S5-1,S5,D,NP,R1,5.65E-006,2.24E-004,2.29E-004,-3.6393,-5.2481,-3.6501,0.9754,T2_S5-1.P25_Ssid_T2_NP_R1.csv
T2_S5-12,T2,S5-12,S5,D,NP,R1,0.00E+000,4.42E-004,4.42E-004,-3.3549,NA,-3.3549,1.0000,T2_S5-12.P25_Ssid_T2_NP_R1.csv
T2_S6-18,T2,S6-18,S6,D,NP,R1,0.00E+000,1.72E-003,1.72E-003,-2.7640,NA,-2.7640,1.0000,T2_S6-18.P25_Ssid_T2_NP_R1.csv
T2_S6-3,T2,S6-3,S6,D,NP,R1,7.09E-006,1.86E-003,1.86E-003,-2.7300,-5.1492,-2.7316,0.9962,T2_S6-3.P25_Ssid_T2_NP_R1.csv
T2_S1-11,T2,S1-11,S1,C,NP,R2,3.26E-005,7.90E-007,3.34E-005,-4.4759,-4.4863,-6.1021,0.0236,T2_S1-11.P28_Ssid_T2_NP_R2.csv
T2_S1-14,T2,S1-14,S1,C,NP,R2,3.35E-005,1.43E-007,3.36E-005,-4.4732,-4.4750,-6.8459,0.0042,T2_S1-14.P28_Ssid_T2_NP_R2.csv
T2_S2-13,T2,S2-13,S2,D,NP,R2,0.00E+000,1.77E-004,1.77E-004,-3.7526,NA,-3.7526,1.0000,T2_S2-13.P28_Ssid_T2_NP_R2.csv
T2_S2-8,T2,S2-8,S2,D,NP,R2,0.00E+000,1.81E-004,1.81E-004,-3.7426,NA,-3.7426,1.0000,T2_S2-8.P28_Ssid_T2_NP_R2.csv
T2_S3-17,T2,S3-17,S3,DC,NP,R2,1.29E-004,8.33E-005,2.16E-004,-3.6652,-3.8878,-4.0795,0.3852,T2_S3-17.P28_Ssid_T2_NP_R2.csv
T2_S3-2,T2,S3-2,S3,DC,NP,R2,4.47E-005,1.31E-004,1.80E-004,-3.7449,-4.3495,-3.8815,0.7302,T2_S3-2.P28_Ssid_T2_NP_R2.csv
T2_S4-16,T2,S4-16,S4,DC,NP,R2,9.50E-005,2.05E-004,3.00E-004,-3.5231,-4.0222,-3.6886,0.6832,T2_S4-16.P28_Ssid_T2_NP_R2.csv
T2_S4-4,T2,S4-4,S4,DC,NP,R2,2.59E-004,9.62E-005,3.56E-004,-3.4490,-3.5861,-4.0166,0.2706,T2_S4-4.P28_Ssid_T2_NP_R2.csv
T2_S5-2,T2,S5-2,S5,D,NP,R2,7.39E-007,2.27E-004,2.28E-004,-3.6425,-6.1314,-3.6439,0.9968,T2_S5-2.P28_Ssid_T2_NP_R2.csv
T2_S5-8,T2,S5-8,S5,D,NP,R2,6.83E-006,2.19E-004,2.26E-004,-3.6459,-5.1653,-3.6592,0.9698,T2_S5-8.P28_Ssid_T2_NP_R2.csv
T2_S6-31,T2,S6-31,S6,D,NP,R2,0.00E+000,6.38E-004,6.38E-004,-3.1949,NA,-3.1949,1.0000,T2_S6-31.P28_Ssid_T2_NP_R2.csv
T2_S6-8,T2,S6-8,S6,D,NP,R2,3.20E-007,5.75E-004,5.75E-004,-3.2401,-6.4943,-3.2403,0.9994,T2_S6-8.P47_Ssid_T0_CO2_R2.csv
T2_S1-18,T2,S1-18,S1,D,NPF,R1,7.99E-006,1.83E-004,1.91E-004,-3.7188,-5.0972,-3.7373,0.9582,T2_S1-18.P07_Ssid_T2_NPF_R1.csv
T2_S1-5,T2,S1-5,S1,DC,NPF,R1,1.20E-004,9.41E-005,2.14E-004,-3.6690,-3.9203,-4.0262,0.4393,T2_S1-5.P07_Ssid_T2_NPF_R1.csv
T2_S2-28,T2,S2-28,S2,D,NPF,R1,0.00E+000,4.13E-004,4.13E-004,-3.3837,NA,-3.3837,1.0000,T2_S2-28.P07_Ssid_T2_NPF_R1.csv
T2_S2-30,T2,S2-30,S2,D,NPF,R1,5.03E-007,2.70E-004,2.70E-004,-3.5683,-6.2982,-3.5691,0.9981,T2_S2-30.P07_Ssid_T2_NPF_R1.csv
T2_S3-1,T2,S3-1,S3,DC,NPF,R1,1.24E-004,6.77E-005,1.92E-004,-3.7165,-3.9053,-4.1692,0.3526,T2_S3-1.P07_Ssid_T2_NPF_R1.csv
T2_S3-28,T2,S3-28,S3,DC,NPF,R1,7.16E-005,2.61E-004,3.38E-004,-3.4713,-4.1449,-3.5837,0.7719,T2_S3-28.P07_Ssid_T2_NPF_R1.csv
T2_S4-10,T2,S4-10,S4,DC,NPF,R1,3.20E-004,4.61E-005,3.66E-004,-3.4363,-3.4947,-4.3366,0.1258,T2_S4-10.P07_Ssid_T2_NPF_R1.csv
T2_S4-17,T2,S4-17,S4,DC,NPF,R1,1.29E-004,7.61E-005,2.06E-004,-3.6866,-3.8907,-4.1184,0.3700,T2_S4-17.P07_Ssid_T2_NPF_R1.csv
T2_S5-27,T2,S5-27,S5,D,NPF,R1,1.61E-005,1.54E-004,1.70E-004,-3.7685,-4.7936,-3.8116,0.9056,T2_S5-27.P07_Ssid_T2_NPF_R1.csv
T2_S5-5,T2,S5-5,S5,D,NPF,R1,2.80E-007,2.16E-004,2.16E-004,-3.6658,-6.5532,-3.6664,0.9987,T2_S5-5.P07_Ssid_T2_NPF_R1.csv
T2_S6-13,T2,S6-13,S6,D,NPF,R1,2.20E-006,4.66E-004,4.68E-004,-3.3298,-5.6568,-3.3319,0.9953,T2_S6-13.P07_Ssid_T2_NPF_R1.csv
T2_S6-6,T2,S6-6,S6,D,NPF,R1,2.91E-006,5.01E-004,5.03E-004,-3.2981,-5.5364,-3.3006,0.9942,T2_S6-6.P07_Ssid_T2_NPF_R1.csv
T2_S1-2,T2,S1-2,S1,DC,NPF,R2,1.23E-004,2.92E-005,1.52E-004,-3.8171,-3.9094,-4.5350,0.1915,T2_S1-2.P24_Ssid_T2_NPF_R2.csv
T2_S1-28,T2,S1-28,S1,DC,NPF,R2,3.55E-005,7.90E-005,1.14E-004,-3.9412,-4.4493,-4.1026,0.6896,T2_S1-28.P24_Ssid_T2_NPF_R2.csv
T2_S2-14,T2,S2-14,S2,D,NPF,R2,0.00E+000,3.37E-004,3.37E-004,-3.4721,NA,-3.4721,1.0000,T2_S2-14.P24_Ssid_T2_NPF_R2.csv
T2_S2-23,T2,S2-23,S2,D,NPF,R2,0.00E+000,4.25E-004,4.25E-004,-3.3719,NA,-3.3719,1.0000,T2_S2-23.P24_Ssid_T2_NPF_R2.csv
T2_S3-13,T2,S3-13,S3,DC,NPF,R2,1.18E-004,1.12E-004,2.30E-004,-3.6379,-3.9281,-3.9500,0.4874,T2_S3-13.P24_Ssid_T2_NPF_R2.csv
T2_S3-16,T2,S3-16,S3,DC,NPF,R2,3.95E-004,3.32E-004,7.27E-004,-3.1387,-3.4033,-3.4795,0.4562,T2_S3-16.P24_Ssid_T2_NPF_R2.csv
T2_S4-13,T2,S4-13,S4,DC,NPF,R2,1.57E-004,5.30E-005,2.10E-004,-3.6769,-3.8028,-4.2760,0.2517,T2_S4-13.P24_Ssid_T2_NPF_R2.csv
T2_S4-18,T2,S4-18,S4,DC,NPF,R2,1.29E-005,6.96E-005,8.25E-005,-4.0837,-4.8902,-4.1574,0.8439,T2_S4-18.P47_Ssid_T0_CO2_R2.csv
T2_S5-19,T2,S5-19,S5,D,NPF,R2,9.40E-007,3.69E-004,3.69E-004,-3.4324,-6.0270,-3.4335,0.9975,T2_S5-19.P24_Ssid_T2_NPF_R2.csv
T2_S5-21,T2,S5-21,S5,DC,NPF,R2,4.19E-005,2.52E-004,2.94E-004,-3.5323,-4.3779,-3.5992,0.8573,T2_S5-21.P24_Ssid_T2_NPF_R2.csv
T2_S6-10,T2,S6-10,S6,D,NPF,R2,3.96E-007,5.39E-004,5.39E-004,-3.2683,-6.4026,-3.2686,0.9993,T2_S6-10.P24_Ssid_T2_NPF_R2.csv
T2_S6-25,T2,S6-25,S6,D,NPF,R2,4.42E-007,5.50E-004,5.50E-004,-3.2596,-6.3543,-3.2600,0.9992,T2_S6-25.P24_Ssid_T2_NPF_R2.csv
T3_S1-10,T3,S1-10,S1,C,C,R1,7.94E-005,7.14E-006,8.66E-005,-4.0626,-4.1000,-5.1464,0.0825,T3_S1-10.P29_Ssid_T3_C_R1-2.csv
T3_S1-26,T3,S1-26,S1,C,C,R1,4.20E-005,0.00E+000,4.20E-005,-4.3771,-4.3771,NA,0.0000,T3_S1-26.P29_Ssid_T3_C_R1-2.csv
T3_S2-11,T3,S2-11,S2,D,C,R1,0.00E+000,8.07E-004,8.07E-004,-3.0931,NA,-3.0931,1.0000,T3_S2-11.P29_Ssid_T3_C_R1-2.csv
T3_S2-22,T3,S2-22,S2,D,C,R1,0.00E+000,5.30E-004,5.30E-004,-3.2756,NA,-3.2756,1.0000,T3_S2-22.P29_Ssid_T3_C_R1-2.csv
T3_S3-18,T3,S3-18,S3,C,C,R1,3.54E-003,2.44E-004,3.78E-003,-2.4226,-2.4516,-3.6133,0.0645,T3_S3-18.P29_Ssid_T3_C_R1-2.csv
T3_S3-29,T3,S3-29,S3,C,C,R1,3.83E-003,2.62E-004,4.09E-003,-2.3883,-2.4171,-3.5810,0.0642,T3_S3-29.P29_Ssid_T3_C_R1-2.csv
T3_S4-12,T3,S4-12,S4,DC,C,R1,1.71E-003,3.43E-004,2.06E-003,-2.6865,-2.7658,-3.4642,0.1669,T3_S4-12.P29_Ssid_T3_C_R1-2.csv
T3_S4-8,T3,S4-8,S4,C,C,R1,3.10E-003,2.26E-004,3.32E-003,-2.4787,-2.5093,-3.6461,0.0680,T3_S4-8.P29_Ssid_T3_C_R1-2.csv
T3_S5-24,T3,S5-24,S5,D,C,R1,4.92E-005,3.21E-003,3.26E-003,-2.4864,-4.3077,-2.4930,0.9849,T3_S5-24.P29_Ssid_T3_C_R1-2.csv
T3_S5-9,T3,S5-9,S5,DC,C,R1,1.69E-003,4.97E-003,6.66E-003,-2.1768,-2.7721,-2.3040,0.7461,T3_S5-9.P29_Ssid_T3_C_R1-2.csv
T3_S6-20,T3,S6-20,S6,D,C,R1,1.18E-004,9.65E-003,9.77E-003,-2.0102,-3.9290,-2.0154,0.9879,T3_S6-20.P45_Ssid_ReRuns.csv
T3_S6-5,T3,S6-5,S6,D,C,R1,4.33E-005,2.72E-003,2.77E-003,-2.5578,-4.3636,-2.5647,0.9844,T3_S6-5.P29_Ssid_T3_C_R1-2.csv
T3_S1-13,T3,S1-13,S1,C,C,R2,3.20E-005,0.00E+000,3.20E-005,-4.4945,-4.4945,NA,0.0000,T3_S1-13.P29_Ssid_T3_C_R1-2.csv
T3_S1-23,T3,S1-23,S1,DC,C,R2,1.73E-005,7.61E-006,2.49E-005,-4.6035,-4.7617,-5.1189,0.3052,T3_S1-23.P29_Ssid_T3_C_R1-2.csv
T3_S2-10,T3,S2-10,S2,D,C,R2,8.71E-006,2.03E-004,2.11E-004,-3.6752,-5.0602,-3.6934,0.9588,T3_S2-10.P29_Ssid_T3_C_R1-2.csv
T3_S2-2,T3,S2-2,S2,D,C,R2,0.00E+000,2.78E-004,2.78E-004,-3.5552,NA,-3.5552,1.0000,T3_S2-2.P29_Ssid_T3_C_R1-2.csv
T3_S3-20,T3,S3-20,S3,DC,C,R2,7.32E-004,1.63E-004,8.95E-004,-3.0483,-3.1357,-3.7875,0.1823,T3_S3-20.P29_Ssid_T3_C_R1-2.csv
T3_S3-4,T3,S3-4,S3,C,C,R2,1.18E-003,5.23E-005,1.24E-003,-2.9082,-2.9269,-4.2813,0.0424,T3_S3-4.P29_Ssid_T3_C_R1-2.csv
T3_S4-24,T3,S4-24,S4,DC,C,R2,6.33E-004,1.02E-004,7.35E-004,-3.1338,-3.1988,-3.9910,0.1389,T3_S4-24.P29_Ssid_T3_C_R1-2.csv
T3_S4-3,T3,S4-3,S4,C,C,R2,5.99E-004,3.42E-005,6.33E-004,-3.1986,-3.2228,-4.4654,0.0541,T3_S4-3.P29_Ssid_T3_C_R1-2.csv
T3_S5-10,T3,S5-10,S5,DC,C,R2,1.64E-003,4.67E-004,2.11E-003,-2.6763,-2.7852,-3.3307,0.2217,T3_S5-10.P29_Ssid_T3_C_R1-2.csv
T3_S5-15,T3,S5-15,S5,D,C,R2,2.80E-005,7.24E-004,7.52E-004,-3.1239,-4.5522,-3.1404,0.9627,T3_S5-15.P29_Ssid_T3_C_R1-2.csv
T3_S6-23,T3,S6-23,S6,D,C,R2,6.64E-006,1.61E-003,1.62E-003,-2.7914,-5.1777,-2.7932,0.9959,T3_S6-23.P29_Ssid_T3_C_R1-2.csv
T3_S6-26,T3,S6-26,S6,D,C,R2,2.97E-005,3.28E-003,3.31E-003,-2.4808,-4.5268,-2.4848,0.9910,T3_S6-26.P29_Ssid_T3_C_R1-2.csv
T3_S1-21,T3,S1-21,S1,DC,CO2,R1,3.20E-005,8.21E-005,1.14E-004,-3.9430,-4.4955,-4.0858,0.7198,T3_S1-21.P39_Ssid_T3_CO2_R1-2.csv
T3_S1-29,T3,S1-29,S1,DC,CO2,R1,1.98E-005,1.14E-004,1.34E-004,-3.8741,-4.7044,-3.9436,0.8522,T3_S1-29.P39_Ssid_T3_CO2_R1-2.csv
T3_S2-19,T3,S2-19,S2,D,CO2,R1,1.33E-006,4.81E-004,4.82E-004,-3.3166,-5.8768,-3.3178,0.9972,T3_S2-19.P39_Ssid_T3_CO2_R1-2.csv
T3_S2-6,T3,S2-6,S2,D,CO2,R1,0.00E+000,5.22E-004,5.22E-004,-3.2826,NA,-3.2826,1.0000,T3_S2-6.P39_Ssid_T3_CO2_R1-2.csv
T3_S3-22,T3,S3-22,S3,DC,CO2,R1,2.84E-004,5.55E-004,8.39E-004,-3.0761,-3.5462,-3.2557,0.6613,T3_S3-22.P39_Ssid_T3_CO2_R1-2.csv
T3_S3-31,T3,S3-31,S3,DC,CO2,R1,2.63E-004,4.54E-004,7.17E-004,-3.1443,-3.5797,-3.3429,0.6330,T3_S3-31.P39_Ssid_T3_CO2_R1-2.csv
T3_S4-23,T3,S4-23,S4,DC,CO2,R1,2.11E-004,6.51E-004,8.62E-004,-3.0645,-3.6755,-3.1865,0.7551,T3_S4-23.P39_Ssid_T3_CO2_R1-2.csv
T3_S4-5,T3,S4-5,S4,DC,CO2,R1,2.75E-004,9.54E-004,1.23E-003,-2.9103,-3.5600,-3.0204,0.7760,T3_S4-5.P39_Ssid_T3_CO2_R1-2.csv
T3_S5-20,T3,S5-20,S5,D,CO2,R1,0.00E+000,4.27E-003,4.27E-003,-2.3697,NA,-2.3697,1.0000,T3_S5-20.P39_Ssid_T3_CO2_R1-2.csv
T3_S5-4,T3,S5-4,S5,D,CO2,R1,3.81E-005,4.63E-003,4.67E-003,-2.3309,-4.4196,-2.3345,0.9918,T3_S5-4.P45_Ssid_ReRuns.csv
T3_S6-19,T3,S6-19,S6,D,CO2,R1,0.00E+000,1.49E-003,1.49E-003,-2.8280,NA,-2.8280,1.0000,T3_S6-19.P39_Ssid_T3_CO2_R1-2.csv
T3_S6-4,T3,S6-4,S6,D,CO2,R1,9.77E-006,3.07E-003,3.08E-003,-2.5113,-5.0102,-2.5127,0.9968,T3_S6-4.P39_Ssid_T3_CO2_R1-2.csv
T3_S1-20,T3,S1-20,S1,DC,CO2,R2,3.20E-005,1.00E-004,1.32E-004,-3.8784,-4.4944,-3.9988,0.7579,T3_S1-20.P39_Ssid_T3_CO2_R1-2.csv
T3_S1-3,T3,S1-3,S1,C,CO2,R2,1.09E-004,3.37E-006,1.12E-004,-3.9499,-3.9631,-5.4724,0.0300,T3_S1-3.P39_Ssid_T3_CO2_R1-2.csv
T3_S2-27,T3,S2-27,S2,D,CO2,R2,0.00E+000,2.80E-004,2.80E-004,-3.5533,NA,-3.5533,1.0000,T3_S2-27.P39_Ssid_T3_CO2_R1-2.csv
T3_S2-5,T3,S2-5,S2,D,CO2,R2,0.00E+000,5.40E-004,5.40E-004,-3.2680,NA,-3.2680,1.0000,T3_S2-5.P39_Ssid_T3_CO2_R1-2.csv
T3_S3-15,T3,S3-15,S3,DC,CO2,R2,2.92E-004,5.24E-004,8.16E-004,-3.0883,-3.5343,-3.2808,0.6419,T3_S3-15.P39_Ssid_T3_CO2_R1-2.csv
T3_S3-24,T3,S3-24,S3,DC,CO2,R2,9.82E-005,3.99E-004,4.97E-004,-3.3037,-4.0079,-3.3994,0.8024,T3_S3-24.P39_Ssid_T3_CO2_R1-2.csv
T3_S4-20,T3,S4-20,S4,D,CO2,R2,5.31E-005,9.25E-004,9.78E-004,-3.0098,-4.2749,-3.0341,0.9457,T3_S4-20.P39_Ssid_T3_CO2_R1-2.csv
T3_S4-6,T3,S4-6,S4,DC,CO2,R2,3.20E-004,4.86E-004,8.05E-004,-3.0942,-3.4955,-3.3138,0.6031,T3_S4-6.P39_Ssid_T3_CO2_R1-2.csv
T3_S5-16,T3,S5-16,S5,D,CO2,R2,3.55E-005,5.59E-003,5.62E-003,-2.2499,-4.4492,-2.2527,0.9937,T3_S5-16.P39_Ssid_T3_CO2_R1-2.csv
T3_S5-26,T3,S5-26,S5,D,CO2,R2,5.21E-005,3.13E-003,3.19E-003,-2.4969,-4.2831,-2.5040,0.9836,T3_S5-26.P40ER15_Ssid_T0T3_CO2_R1-2.csv
T3_S6-2,T3,S6-2,S6,D,CO2,R2,5.01E-006,1.36E-003,1.36E-003,-2.8657,-5.3003,-2.8673,0.9963,T3_S6-2.P40ER15_Ssid_T0T3_CO2_R1-2.csv
T3_S6-22,T3,S6-22,S6,D,CO2,R2,1.97E-005,2.44E-003,2.46E-003,-2.6085,-4.7045,-2.6120,0.9920,T3_S6-22.P40ER15_Ssid_T0T3_CO2_R1-2.csv
T3_S1-19,T3,S1-19,S1,D,D,R1,3.31E-006,3.14E-004,3.17E-004,-3.4984,-5.4798,-3.5029,0.9896,T3_S1-19.P38_Ssid_T3_D_R1-2.csv
T3_S1-4,T3,S1-4,S1,DC,D,R1,3.31E-004,3.20E-004,6.51E-004,-3.1866,-3.4804,-3.4949,0.4916,T3_S1-4.P38_Ssid_T3_D_R1-2.csv
T3_S2-20,T3,S2-20,S2,D,D,R1,0.00E+000,6.92E-004,6.92E-004,-3.1598,NA,-3.1598,1.0000,T3_S2-20.P38_Ssid_T3_D_R1-2.csv
T3_S2-29,T3,S2-29,S2,D,D,R1,0.00E+000,1.05E-003,1.05E-003,-2.9772,NA,-2.9772,1.0000,T3_S2-29.P38_Ssid_T3_D_R1-2.csv
T3_S3-19,T3,S3-19,S3,DC,D,R1,1.60E-003,1.80E-003,3.39E-003,-2.4692,-2.7971,-2.7450,0.5299,T3_S3-19.P38_Ssid_T3_D_R1-2.csv
T3_S3-3,T3,S3-3,S3,DC,D,R1,5.86E-004,1.63E-003,2.21E-003,-2.6548,-3.2322,-2.7882,0.7354,T3_S3-3.P38_Ssid_T3_D_R1-2.csv
T3_S4-21,T3,S4-21,S4,D,D,R1,1.20E-004,1.49E-003,1.61E-003,-2.7926,-3.9203,-2.8262,0.9255,T3_S4-21.P38_Ssid_T3_D_R1-2.csv
T3_S4-30,T3,S4-30,S4,D,D,R1,1.50E-005,1.27E-003,1.29E-003,-2.8908,-4.8227,-2.8959,0.9883,T3_S4-30.P38_Ssid_T3_D_R1-2.csv
T3_S5-22,T3,S5-22,S5,D,D,R1,6.00E-006,2.94E-003,2.95E-003,-2.5307,-5.2220,-2.5315,0.9980,T3_S5-22.P38_Ssid_T3_D_R1-2.csv
T3_S5-3,T3,S5-3,S5,D,D,R1,0.00E+000,4.54E-003,4.54E-003,-2.3426,NA,-2.3426,1.0000,T3_S5-3.P38_Ssid_T3_D_R1-2.csv
T3_S6-14,T3,S6-14,S6,D,D,R1,4.13E-005,8.00E-003,8.04E-003,-2.0947,-4.3840,-2.0970,0.9949,T3_S6-14.P45_Ssid_ReRuns.csv
T3_S6-9,T3,S6-9,S6,D,D,R1,0.00E+000,4.79E-003,4.79E-003,-2.3196,NA,-2.3196,1.0000,T3_S6-9.P38_Ssid_T3_D_R1-2.csv
T3_S1-22,T3,S1-22,S1,DC,D,R2,8.23E-005,9.27E-005,1.75E-004,-3.7569,-4.0847,-4.0327,0.5299,T3_S1-22.P38_Ssid_T3_D_R1-2.csv
T3_S1-7,T3,S1-7,S1,D,D,R2,4.93E-006,1.66E-004,1.71E-004,-3.7666,-5.3073,-3.7793,0.9712,T3_S1-7.P38_Ssid_T3_D_R1-2.csv
T3_S2-1,T3,S2-1,S2,D,D,R2,0.00E+000,9.35E-004,9.35E-004,-3.0290,NA,-3.0290,1.0000,T3_S2-1.P38_Ssid_T3_D_R1-2.csv
T3_S2-15,T3,S2-15,S2,D,D,R2,0.00E+000,6.41E-004,6.41E-004,-3.1934,NA,-3.1934,1.0000,T3_S2-15.P38_Ssid_T3_D_R1-2.csv
T3_S3-27,T3,S3-27,S3,D,D,R2,0.00E+000,1.22E-003,1.22E-003,-2.9135,NA,-2.9135,1.0000,T3_S3-27.P38_Ssid_T3_D_R1-2.csv
T3_S3-9,T3,S3-9,S3,DC,D,R2,7.20E-004,1.28E-003,2.00E-003,-2.6984,-3.1429,-2.8918,0.6407,T3_S3-9.P38_Ssid_T3_D_R1-2.csv
T3_S4-14,T3,S4-14,S4,DC,D,R2,3.88E-004,1.07E-003,1.46E-003,-2.8362,-3.4107,-2.9707,0.7336,T3_S4-14.P38_Ssid_T3_D_R1-2.csv
T3_S4-25,T3,S4-25,S4,D,D,R2,1.22E-004,2.08E-003,2.20E-003,-2.6574,-3.9144,-2.6821,0.9447,T3_S4-25.P38_Ssid_T3_D_R1-2.csv
T3_S5-6,T3,S5-6,S5,D,D,R2,9.01E-006,1.53E-003,1.54E-003,-2.8122,-5.0453,-2.8148,0.9942,T3_S5-6.P38_Ssid_T3_D_R1-2.csv
T3_S6-11,T3,S6-11,S6,D,D,R2,3.18E-006,1.37E-003,1.37E-003,-2.8629,-5.4970,-2.8639,0.9977,T3_S6-11.P38_Ssid_T3_D_R1-2.csv
T3_S6-17,T3,S6-17,S6,D,D,R2,0.00E+000,1.46E-003,1.46E-003,-2.8371,NA,-2.8371,1.0000,T3_S6-17.P38_Ssid_T3_D_R1-2.csv
T3_S1-6,T3,S1-6,S1,DC,Fe,R1,8.12E-005,1.14E-005,9.26E-005,-4.0334,-4.0906,-4.9418,0.1235,T3_S1-6.P32_Ssid_T3_Fe_R1-2.csv
T3_S1-9,T3,S1-9,S1,DC,Fe,R1,5.59E-005,2.50E-005,8.09E-005,-4.0922,-4.2525,-4.6028,0.3087,T3_S1-9.P32_Ssid_T3_Fe_R1-2.csv
T3_S2-16,T3,S2-16,S2,D,Fe,R1,0.00E+000,3.05E-004,3.05E-004,-3.5164,NA,-3.5164,1.0000,T3_S2-16.P32_Ssid_T3_Fe_R1-2.csv
T3_S2-25,T3,S2-25,S2,D,Fe,R1,0.00E+000,3.55E-004,3.55E-004,-3.4492,NA,-3.4492,1.0000,T3_S2-25.P32_Ssid_T3_Fe_R1-2.csv
T3_S3-12,T3,S3-12,S3,DC,Fe,R1,2.18E-004,1.56E-004,3.73E-004,-3.4279,-3.6623,-3.8078,0.4170,T3_S3-12.P32_Ssid_T3_Fe_R1-2.csv
T3_S3-6,T3,S3-6,S3,DC,Fe,R1,7.71E-004,9.65E-005,8.67E-004,-3.0619,-3.1132,-4.0157,0.1112,T3_S3-6.P32_Ssid_T3_Fe_R1-2.csv
T3_S4-11,T3,S4-11,S4,DC,Fe,R1,3.11E-004,7.49E-005,3.86E-004,-3.4130,-3.5066,-4.1257,0.1938,T3_S4-11.P32_Ssid_T3_Fe_R1-2.csv
T3_S4-9,T3,S4-9,S4,C,Fe,R1,3.62E-004,1.41E-005,3.76E-004,-3.4249,-3.4415,-4.8504,0.0375,T3_S4-9.P32_Ssid_T3_Fe_R1-2.csv
