Sample.Time,Time,Sample,Colony,Community,Treatment,Repli,C.SH,D.SH,tot.SH,logTot.SH,logC.SH,logD.SH,D.Prp,ID
T2_S1-10,T2,S1-10,S1,C,C,R1,1.95E-005,0.00E+000,1.95E-005,-4.7092,-4.7092,NA,0.0000,T2_S1-10.P05_Ssid_T2_C_R1.csv
T2_S1-26,T2,S1-26,S1,C,C,R1,3.21E-005,0.00E+000,3.21E-005,-4.4930,-4.4930,NA,0.0000,T2_S1-26.P05_Ssid_T2_C_R1.csv
T2_S2-11,T2,S2-11,S2,D,C,R1,0.00E+000,7.40E-005,7.40E-005,-4.1310,NA,-4.1310,1.0000,T2_S2-11.P42_Ssid_T2_D_R1-2.csv
T2_S2-22,T2,S2-22,S2,D,C,R1,0.00E+000,2.97E-004,2.97E-004,-3.5279,NA,-3.5279,1.0000,T2_S2-22.P05_Ssid_T2_C_R1.csv
T2_S3-18,T2,S3-18,S3,C,C,R1,1.70E-004,0.00E+000,1.70E-004,-3.7698,-3.7698,NA,0.0000,T2_S3-18.P05_Ssid_T2_C_R1.csv
T2_S3-29,T2,S3-29,S3,DC,C,R1,3.41E-005,5.26E-005,8.67E-005,-4.0622,-4.4677,-4.2791,0.6069,T2_S3-29.P05_Ssid_T2_C_R1.csv
T2_S4-12,T2,S4-12,S4,DC,C,R1,3.53E-005,5.61E-005,9.14E-005,-4.0390,-4.4527,-4.2507,0.6142,T2_S4-12.P05_Ssid_T2_C_R1.csv
T2_S4-8,T2,S4-8,S4,C,C,R1,1.52E-004,0.00E+000,1.52E-004,-3.8172,-3.8172,NA,0.0000,T2_S4-8.P05_Ssid_T2_C_R1.csv
T2_S5-24,T2,S5-24,S5,D,C,R1,0.00E+000,8.15E-004,8.15E-004,-3.0887,NA,-3.0887,1.0000,T2_S5-24.P05_Ssid_T2_C_R1.csv
T2_S5-9,T2,S5-9,S5,DC,C,R1,0.00E+000,1.13E-004,2.65E-004,-3.5767,NA,-3.9477,0.4256,T2_S5-9.P05_Ssid_T2_C_R1.csv
T2_S6-20,T2,S6-20,S6,D,C,R1,0.00E+000,3.03E-003,3.03E-003,-2.5187,NA,-2.5187,1.0000,T2_S6-20.P05_Ssid_T2_C_R1.csv
T2_S6-5,T2,S6-5,S6,D,C,R1,0.00E+000,2.46E-003,2.46E-003,-2.6088,NA,-2.6088,1.0000,T2_S6-5.P05_Ssid_T2_C_R1.csv
T2_S1-13,T2,S1-13,S1,C,C,R2,3.91E-005,9.12E-007,4.00E-005,-4.3980,-4.4080,-6.0401,0.0228,T2_S1-13.P16_Ssid_T2_C_R2.csv
T2_S1-23,T2,S1-23,S1,DC,C,R2,6.85E-006,2.29E-005,2.98E-005,-4.5263,-5.1641,-4.6400,0.7697,T2_S1-23.P16_Ssid_T2_C_R2.csv
T2_S2-10,T2,S2-10,S2,D,C,R2,3.44E-007,1.75E-004,1.75E-004,-3.7559,-6.4640,-3.7567,0.9980,T2_S2-10.P16_Ssid_T2_C_R2.csv
T2_S2-2,T2,S2-2,S2,D,C,R2,0.00E+000,3.68E-004,3.68E-004,-3.4341,NA,-3.4341,1.0000,T2_S2-2.P16_Ssid_T2_C_R2.csv
T2_S3-20,T2,S3-20,S3,D,C,R2,7.78E-005,8.26E-004,9.04E-004,-3.0440,-4.1091,-3.0831,0.9139,T2_S3-20.P19_Ssid_T0_N_R2.csv
T2_S3-4,T2,S3-4,S3,DC,C,R2,4.40E-004,1.06E-004,5.59E-004,-3.2526,-3.3570,-3.9739,0.1900,T2_S3-4.P16_Ssid_T2_C_R2.csv
T2_S4-24,T2,S4-24,S4,DC,C,R2,2.92E-004,1.82E-004,4.74E-004,-3.3242,-3.5348,-3.7395,0.3843,T2_S4-24.P16_Ssid_T2_C_R2.csv
T2_S4-3,T2,S4-3,S4,DC,C,R2,3.08E-004,9.45E-005,4.06E-004,-3.3920,-3.5116,-4.0246,0.2330,T2_S4-3.P16_Ssid_T2_C_R2.csv
T2_S5-10,T2,S5-10,S5,DC,C,R2,1.14E-004,5.88E-004,7.02E-004,-3.1538,-3.9448,-3.2305,0.8382,T2_S5-10.P16_Ssid_T2_C_R2.csv
T2_S5-15,T2,S5-15,S5,D,C,R2,1.18E-005,4.96E-004,5.08E-004,-3.2940,-4.9293,-3.3041,0.9768,T2_S5-15.P16_Ssid_T2_C_R2.csv
T2_S6-23,T2,S6-23,S6,D,C,R2,0.00E+000,1.55E-003,1.55E-003,-2.8094,NA,-2.8094,1.0000,T2_S6-23.P26_Ssid_T1_NP_R1.csv
T2_S6-26,T2,S6-26,S6,D,C,R2,2.09E-006,6.47E-004,6.49E-004,-3.1878,-5.6799,-3.1892,0.9968,T2_S6-26.P16_Ssid_T2_C_R2.csv
T2_S1-21,T2,S1-21,S1,DC,CO2,R1,2.40E-005,5.91E-005,8.31E-005,-4.0804,-4.6206,-4.2281,0.7117,T2_S1-21.P44_Ssid_T2_CO2_R1-2.csv
T2_S1-29,T2,S1-29,S1,D,CO2,R1,7.03E-006,7.20E-005,7.91E-005,-4.1020,-5.1529,-4.1425,0.9111,T2_S1-29.P44_Ssid_T2_CO2_R1-2.csv
T2_S2-19,T2,S2-19,S2,D,CO2,R1,1.13E-006,3.98E-004,3.99E-004,-3.3994,-5.9470,-3.4006,0.9972,T2_S2-19.P44_Ssid_T2_CO2_R1-2.csv
T2_S2-6,T2,S2-6,S2,D,CO2,R1,0.00E+000,2.75E-004,2.75E-004,-3.5608,NA,-3.5608,1.0000,T2_S2-6.P44_Ssid_T2_CO2_R1-2.csv
T2_S3-22,T2,S3-22,S3,DC,CO2,R1,6.19E-005,1.37E-004,1.99E-004,-3.7021,-4.2081,-3.8644,0.6881,T2_S3-22.P44_Ssid_T2_CO2_R1-2.csv
T2_S3-31,T2,S3-31,S3,DC,CO2,R1,4.15E-005,2.01E-004,2.43E-004,-3.6144,-4.3817,-3.6958,0.8291,T2_S3-31.P44_Ssid_T2_CO2_R1-2.csv
T2_S4-23,T2,S4-23,S4,DC,CO2,R1,9.58E-005,7.88E-005,1.75E-004,-3.7579,-4.0184,-4.1037,0.4511,T2_S4-23.P44_Ssid_T2_CO2_R1-2.csv
T2_S4-5,T2,S4-5,S4,DC,CO2,R1,1.35E-004,1.08E-004,2.43E-004,-3.6149,-3.8694,-3.9681,0.4434,T2_S4-5.P44_Ssid_T2_CO2_R1-2.csv
T2_S5-20,T2,S5-20,S5,D,CO2,R1,1.04E-006,2.64E-004,2.65E-004,-3.5767,-5.9849,-3.5784,0.9961,T2_S5-20.P44_Ssid_T2_CO2_R1-2.csv
T2_S5-4,T2,S5-4,S5,D,CO2,R1,2.05E-006,2.27E-004,2.29E-004,-3.6403,-5.6884,-3.6442,0.9910,T2_S5-4.P44_Ssid_T2_CO2_R1-2.csv
T2_S6-19,T2,S6-19,S6,D,CO2,R1,2.02E-006,3.77E-004,3.79E-004,-3.4213,-5.6938,-3.4237,0.9947,T2_S6-19.P44_Ssid_T2_CO2_R1-2.csv
T2_S6-4,T2,S6-4,S6,D,CO2,R1,1.90E-006,3.02E-004,3.04E-004,-3.5166,-5.7214,-3.5193,0.9938,T2_S6-4.P44_Ssid_T2_CO2_R1-2.csv
