Core,Sample,Colony,Community,Treatment,Repli,C.SH_2,D.SH_2,tot.SH_2,logTot.SH_2,logC.SH_2,logD.SH_2,D.Prp_2,D.Prop.t_2
S2-8,T2_S2-8,S2,D,NP,R2,0,0.000181,0.000181,-3.7426,NA,-3.7426,1,1.5707963268
S2-9,T2_S2-9,S2,D,NP,R1,0,0.000319,0.000319,-3.496,NA,-3.496,1,1.5707963268
S3-17,T2_S3-17,S3,DC,NP,R2,0.000129,0.0000833,0.000216,-3.6652,-3.8878,-4.0795,0.3852,0.6695648216
S3-2,T2_S3-2,S3,DC,NP,R2,0.0000447,0.000131,0.00018,-3.7449,-4.3495,-3.8815,0.7302,1.0246210347
S3-21,T2_S3-21,S3,DC,NP,R1,0.000128,0.000121,0.000254,-3.5945,-3.893,-3.9158,0.4772,0.7625902544
S3-26,T2_S3-26,S3,D,NP,R1,0.0000227,0.000248,0.000271,-3.567,-4.6435,-3.605,0.9162,1.2771103947
S4-1,T2_S4-1,S4,C,NP,R1,0.00022,0.00000362,0.000224,-3.6501,-3.6572,-5.4417,0.0162,0.1276254042
S4-16,T2_S4-16,S4,DC,NP,R2,0.000095,0.000205,0.0003,-3.5231,-4.0222,-3.6886,0.6832,0.9729666606
S4-2,T2_S4-2,S4,DC,NP,R1,0.000636,0.000137,0.000773,-3.112,-3.1965,-3.8646,0.1768,0.4339698005
S4-4,T2_S4-4,S4,DC,NP,R2,0.000259,0.0000962,0.000356,-3.449,-3.5861,-4.0166,0.2706,0.5470760653
S5-1,T2_S5-1,S5,D,NP,R1,0.00000565,0.000224,0.000229,-3.6393,-5.2481,-3.6501,0.9754,1.4133021708
S5-12,T2_S5-12,S5,D,NP,R1,0,0.000442,0.000442,-3.3549,NA,-3.3549,1,1.5707963268
S5-2,T2_S5-2,S5,D,NP,R2,0.000000739,0.000227,0.000228,-3.6425,-6.1314,-3.6439,0.9968,1.5141975709
S5-8,T2_S5-8,S5,D,NP,R2,0.00000683,0.000219,0.000226,-3.6459,-5.1653,-3.6592,0.9698,1.3961280494
S6-18,T2_S6-18,S6,D,NP,R1,0,0.00172,0.00172,-2.764,NA,-2.764,1,1.5707963268
S6-3,T2_S6-3,S6,D,NP,R1,0.00000709,0.00186,0.00186,-2.73,-5.1492,-2.7316,0.9962,1.5091130786
S6-31,T2_S6-31,S6,D,NP,R2,0,0.000638,0.000638,-3.1949,NA,-3.1949,1,1.5707963268
S6-8,T2_S6-8,S6,D,NP,R2,0.00000032,0.000575,0.000575,-3.2401,-6.4943,-3.2403,0.9994,1.5462989792
S1-18,T2_S1-18,S1,D,NPF,R1,0.00000799,0.000183,0.000191,-3.7188,-5.0972,-3.7373,0.9582,1.3648940275
S1-2,T2_S1-2,S1,DC,NPF,R2,0.000123,0.0000292,0.000152,-3.8171,-3.9094,-4.535,0.1915,0.4529357347
S1-28,T2_S1-28,S1,DC,NPF,R2,0.0000355,0.000079,0.000114,-3.9412,-4.4493,-4.1026,0.6896,0.9798639496
S1-5,T2_S1-5,S1,DC,NPF,R1,0.00012,0.0000941,0.000214,-3.669,-3.9203,-4.0262,0.4393,0.7245480668
S2-14,T2_S2-14,S2,D,NPF,R2,0,0.000337,0.000337,-3.4721,NA,-3.4721,1,1.5707963268
S2-23,T2_S2-23,S2,D,NPF,R2,0,0.000425,0.000425,-3.3719,NA,-3.3719,1,1.5707963268
S2-28,T2_S2-28,S2,D,NPF,R1,0,0.000413,0.000413,-3.3837,NA,-3.3837,1,1.5707963268
S2-30,T2_S2-30,S2,D,NPF,R1,0.000000503,0.00027,0.00027,-3.5683,-6.2982,-3.5691,0.9981,1.5271935224
S3-1,T2_S3-1,S3,DC,NPF,R1,0.000124,0.0000677,0.000192,-3.7165,-3.9053,-4.1692,0.3526,0.6357750582
S3-13,T2_S3-13,S3,DC,NPF,R2,0.000118,0.000112,0.00023,-3.6379,-3.9281,-3.95,0.4874,0.7727968294
S3-16,T2_S3-16,S3,DC,NPF,R2,0.000395,0.000332,0.000727,-3.1387,-3.4033,-3.4795,0.4562,0.7415419506
S3-28,T2_S3-28,S3,DC,NPF,R1,0.0000716,0.000261,0.000338,-3.4713,-4.1449,-3.5837,0.7719,1.072877435
S4-10,T2_S4-10,S4,DC,NPF,R1,0.00032,0.0000461,0.000366,-3.4363,-3.4947,-4.3366,0.1258,0.3625749572
S4-13,T2_S4-13,S4,DC,NPF,R2,0.000157,0.000053,0.00021,-3.6769,-3.8028,-4.276,0.2517,0.5255595518
S4-17,T2_S4-17,S4,DC,NPF,R1,0.000129,0.0000761,0.000206,-3.6866,-3.8907,-4.1184,0.37,0.6538870619
S4-18,T2_S4-18,S4,DC,NPF,R2,0.0000129,0.0000696,0.0000825,-4.0837,-4.8902,-4.1574,0.8439,1.1646251456
S5-19,T2_S5-19,S5,D,NPF,R2,0.00000094,0.000369,0.000369,-3.4324,-6.027,-3.4335,0.9975,1.52077547
S5-21,T2_S5-21,S5,DC,NPF,R2,0.0000419,0.000252,0.000294,-3.5323,-4.3779,-3.5992,0.8573,1.1834242282
S5-27,T2_S5-27,S5,D,NPF,R1,0.0000161,0.000154,0.00017,-3.7685,-4.7936,-3.8116,0.9056,1.2584988119
S5-5,T2_S5-5,S5,D,NPF,R1,0.00000028,0.000216,0.000216,-3.6658,-6.5532,-3.6664,0.9987,1.5347329974
S6-10,T2_S6-10,S6,D,NPF,R2,0.000000396,0.000539,0.000539,-3.2683,-6.4026,-3.2686,0.9993,1.544335726
S6-13,T2_S6-13,S6,D,NPF,R1,0.0000022,0.000466,0.000468,-3.3298,-5.6568,-3.3319,0.9953,1.5021859643
S6-25,T2_S6-25,S6,D,NPF,R2,0.000000442,0.00055,0.00055,-3.2596,-6.3543,-3.26,0.9992,1.542508283
S6-6,T2_S6-6,S6,D,NPF,R1,0.00000291,0.000501,0.000503,-3.2981,-5.5364,-3.3006,0.9942,1.4945647838
