Core,Sample,Colony,Community,Treatment,Repli,C.SH_0,D.SH_0,tot.SH_0,logTot.SH_0,logC.SH_0,logD.SH_0,D.Prp_0,D.Prop.t_0
S1-10,T0_S1-10,S1,DC,C,R1,0.0000891,0.000173,0.000262,-3.5813,-4.0501,-3.7616,0.6603,0.9485795912
S1-13,T0_S1-13,S1,C,C,R2,0.0000609,0.00000224,0.0000631,-4.1998,-4.2155,-5.65,0.0355,0.1895474166
S1-23,T0_S1-23,S1,DC,C,R2,0.00000705,0.0000498,0.0000568,-4.2456,-5.1518,-4.3032,0.8759,1.2107919825
S1-26,T0_S1-26,S1,C,C,R1,0.000142,0,0.000142,-3.848,-3.848,NA,0,0
S2-10,T0_S2-10,S2,D,C,R2,0.000000417,0.000297,0.000297,-3.5268,-6.3797,-3.5274,0.9986,1.5333710169
S2-11,T0_S2-11,S2,D,C,R1,0,0.000502,0.000502,-3.2995,NA,-3.2995,1,1.5707963268
S2-2,T0_S2-2,S2,D,C,R2,0,0.000366,0.000366,-3.4363,NA,-3.4363,1,1.5707963268
S2-22,T0_S2-22,S2,D,C,R1,0,0.000427,0.000427,-3.37,NA,-3.37,1,1.5707963268
S3-18,T0_S3-18,S3,D,C,R1,0.0000146,0.000347,0.000362,-3.4418,-4.8362,-3.4596,0.9597,1.3686743107
S3-20,T0_S3-20,S3,D,C,R2,0.0000276,0.000569,0.000597,-3.224,-4.5594,-3.2446,0.9538,1.3541640364
S3-29,T0_S3-29,S3,D,C,R1,0.0000173,0.000419,0.000436,-3.3604,-4.762,-3.3779,0.9603,1.3702052523
S3-4,T0_S3-4,S3,DC,C,R2,0.000137,0.000422,0.000559,-3.2525,-3.8641,-3.3743,0.7554,1.0534557089
S4-12,T0_S4-12,S4,DC,C,R1,0.000403,0.00084,0.00124,-2.9053,-3.3945,-3.0755,0.6758,0.9650380051
S4-24,T0_S4-24,S4,DC,C,R2,0.000157,0.0004,0.000557,-3.2544,-3.8053,-3.3979,0.7187,1.0117508584
S4-3,T0_S4-3,S4,DC,C,R2,0.000347,0.000561,0.000908,-3.0418,-3.4594,-3.251,0.6177,0.90421322
S4-8,T0_S4-8,S4,DC,C,R1,0.00015,0.000399,0.000549,-3.2604,-3.8235,-3.3991,0.7266,1.0205741133
S5-10,T0_S5-10,S5,D,C,R2,0.000014,0.000204,0.000218,-3.6614,-4.853,-3.6903,0.9357,1.3144226295
S5-15,T0_S5-15,S5,D,C,R2,0.000000215,0.000348,0.000348,-3.4579,-6.6666,-3.4582,0.9994,1.5462989792
S5-24,T0_S5-24,S5,D,C,R1,0.00000293,0.000517,0.00052,-3.2841,-5.5332,-3.2865,0.9944,1.4958931582
S5-9,T0_S5-9,S5,D,C,R1,0.000107,0.00255,0.00265,-2.5762,-3.9698,-2.5941,0.9596,1.3684202182
S6-20,T0_S6-20,S6,D,C,R1,0,0.00199,0.00199,-2.7009,NA,-2.7009,1,1.5707963268
S6-23,T0_S6-23,S6,D,C,R2,0,0.000968,0.000968,-3.0141,NA,-3.0141,1,1.5707963268
S6-26,T0_S6-26,S6,D,C,R2,0.00000037,0.000996,0.000996,-3.0016,-6.4316,-3.0018,0.9996,1.5507949932
S6-5,T0_S6-5,S6,D,C,R1,0.00000461,0.000871,0.000876,-3.0576,-5.3359,-3.0599,0.9947,1.4979307664
S1-20,T0_S1-20,S1,D,CO2,R2,0.00000103,0.000101,0.000102,-3.9922,-5.9885,-3.9966,0.9899,1.4701276241
S1-21,T0_S1-21,S1,D,CO2,R1,0.00000964,0.000223,0.000232,-3.6336,-5.016,-3.652,0.9585,1.3656448242
S1-29,T0_S1-29,S1,D,CO2,R1,0.00000142,0.0000894,0.0000909,-4.0416,-5.8475,-4.0485,0.9844,1.4455693259
S1-3,T0_S1-3,S1,D,CO2,R2,0.00000365,0.0000375,0.0000412,-4.3856,-5.4375,-4.4259,0.9113,1.2683824037
S2-19,T0_S2-19,S2,D,CO2,R1,0.00000016,0.000169,0.000169,-3.7726,-6.7947,-3.773,0.999,1.5391682774
S2-27,T0_S2-27,S2,D,CO2,R2,0,0.000181,0.000181,-3.7423,NA,-3.7423,1,1.5707963268
S2-5,T0_S2-5,S2,D,CO2,R2,0,0.000375,0.000375,-3.426,NA,-3.426,1,1.5707963268
S2-6,T0_S2-6,S2,D,CO2,R1,0,0.000219,0.000219,-3.6598,NA,-3.6598,1,1.5707963268
S3-15,T0_S3-15,S3,D,CO2,R2,0.00000429,0.000837,0.000842,-3.0749,-5.3677,-3.0771,0.9949,1.4993212006
S3-22,T0_S3-22,S3,D,CO2,R1,0.0000242,0.000471,0.000495,-3.3051,-4.6158,-3.3269,0.9511,1.3478197929
S3-24,T0_S3-24,S3,D,CO2,R2,0.00000414,0.000499,0.000504,-3.298,-5.3834,-3.3015,0.9918,1.4801182596
S3-31,T0_S3-31,S3,D,CO2,R1,0.0000149,0.000234,0.000249,-3.6046,-4.828,-3.6314,0.9402,1.3237506686
S4-20,T0_S4-20,S4,D,CO2,R2,0.00000237,0.000116,0.000119,-3.9251,-5.6255,-3.9339,0.9801,1.4292568535
S4-23,T0_S4-23,S4,DC,CO2,R1,0.000203,0.000415,0.000619,-3.2085,-3.6918,-3.3815,0.6714,0.9603461044
S4-5,T0_S4-5,S4,DC,CO2,R1,0.000204,0.000276,0.000481,-3.3181,-3.6894,-3.5586,0.5747,0.8603788807
S4-6,T0_S4-6,S4,DC,CO2,R2,0.000014,0.000108,0.000122,-3.913,-4.8535,-3.9659,0.8853,1.2252891935
S5-16,T0_S5-16,S5,D,CO2,R2,0.000000449,0.000205,0.000205,-3.6883,-6.3481,-3.6893,0.9978,1.523874954
S5-20,T0_S5-20,S5,D,CO2,R1,0,0.000237,0.000237,-3.625,NA,-3.625,1,1.5707963268
S5-26,T0_S5-26,S5,D,CO2,R2,0.000000376,0.000241,0.000241,-3.6177,-6.4252,-3.6184,0.9984,1.5307856524
S5-4,T0_S5-4,S5,D,CO2,R1,0.000000124,0.000235,0.000235,-3.6284,-6.9064,-3.6286,0.9995,1.5484337832
S6-19,T0_S6-19,S6,D,CO2,R1,0,0.000383,0.000383,-3.4173,NA,-3.4173,1,1.5707963268
S6-2,T0_S6-2,S6,D,CO2,R2,0.000000155,0.000341,0.000341,-3.4668,-6.8099,-3.467,0.9995,1.5484337832
S6-22,T0_S6-22,S6,D,CO2,R2,0,0.000305,0.000305,-3.5155,NA,-3.5155,1,1.5707963268
S6-4,T0_S6-4,S6,D,CO2,R1,0.000000697,0.000337,0.000338,-3.4709,-6.1569,-3.4718,0.9979,1.5249545157
S1-19,T0_S1-19,S1,D,D,R1,0.00000114,0.000218,0.000219,-3.6589,-5.942,-3.6612,0.9948,1.4986226584
S1-22,T0_S1-22,S1,DC,D,R2,0.0000145,0.0000428,0.0000573,-4.2417,-4.8372,-4.3689,0.7462,1.0428206934
S1-4,T0_S1-4,S1,DC,D,R1,0.0000476,0.000234,0.000282,-3.5496,-4.322,-3.6299,0.8311,1.1472736301
S1-7,T0_S1-7,S1,D,D,R2,0.00000157,0.0000582,0.0000598,-4.2236,-5.8039,-4.2352,0.9737,1.4079041751
S2-1,T0_S2-1,S2,D,D,R2,8.43E-008,0.00025,0.00025,-3.6014,-7.0743,-3.6016,0.9997,1.5534749526
S2-15,T0_S2-15,S2,D,D,R2,0,0.000287,0.000287,-3.5421,NA,-3.5421,1,1.5707963268
S2-20,T0_S2-20,S2,D,D,R1,0,0.00055,0.00055,-3.2596,NA,-3.2596,1,1.5707963268
S2-29,T0_S2-29,S2,D,D,R1,0,0.000543,0.000543,-3.2653,NA,-3.2653,1,1.5707963268
S3-19,T0_S3-19,S3,D,D,R1,0.0000196,0.000283,0.000303,-3.5184,-4.7079,-3.5475,0.9354,1.3138117626
S3-27,T0_S3-27,S3,D,D,R2,0.000000595,0.000173,0.000174,-3.7604,-6.2254,-3.7619,0.9966,1.5124537151
S3-3,T0_S3-3,S3,D,D,R1,0.000019,0.000317,0.000336,-3.4742,-4.7218,-3.4995,0.9434,1.330585356
S3-9,T0_S3-9,S3,DC,D,R2,0.000069,0.000196,0.000265,-3.5764,-4.1613,-3.7072,0.74,1.0357255196
S4-14,T0_S4-14,S4,DC,D,R2,0.0000948,0.000268,0.000363,-3.4407,-4.0231,-3.5723,0.7385,1.0340172601
S4-21,T0_S4-21,S4,D,D,R1,0.0000224,0.000281,0.000303,-3.5184,-4.6502,-3.5517,0.9262,1.2956772327
S4-25,T0_S4-25,S4,D,D,R2,0.0000122,0.000218,0.00023,-3.6381,-4.9122,-3.6618,0.9468,1.3380493984
S4-30,T0_S4-30,S4,D,D,R1,0.00000658,0.000349,0.000356,-3.4491,-5.182,-3.4572,0.9815,1.4343587128
S5-22,T0_S5-22,S5,D,D,R1,0,0.000625,0.000625,-3.2043,NA,-3.2043,1,1.5707963268
S5-3,T0_S5-3,S5,D,D,R1,0,0.00035,0.00035,-3.456,NA,-3.456,1,1.5707963268
S5-6,T0_S5-6,S5,D,D,R2,0,0.000181,0.000181,-3.743,NA,-3.743,1,1.5707963268
S6-11,T0_S6-11,S6,D,D,R2,0.000000117,0.00012,0.00012,-3.9217,-6.9333,-3.9221,0.999,1.5391682774
S6-14,T0_S6-14,S6,D,D,R1,0.00000193,0.00149,0.0015,-2.8252,-5.715,-2.8258,0.9987,1.5347329974
S6-17,T0_S6-17,S6,D,D,R2,0,0.00042,0.00042,-3.3769,NA,-3.3769,1,1.5707963268
S6-9,T0_S6-9,S6,D,D,R1,0,0.000426,0.000426,-3.3708,NA,-3.3708,1,1.5707963268
S1-12,T0_S1-12,S1,C,Fe,R2,0.000055,0.000000877,0.0000559,-4.2529,-4.2598,-6.0568,0.0157,0.1256298465
S1-16,T0_S1-16,S1,DC,Fe,R2,0.0000584,0.0000731,0.000132,-3.8808,-4.2333,-4.1358,0.5558,0.8413146448
S1-6,T0_S1-6,S1,DC,Fe,R1,0.0000181,0.0000817,0.0000998,-4.0009,-4.7419,-4.0879,0.8184,1.1305685725
S1-9,T0_S1-9,S1,D,Fe,R1,0.00000557,0.0000658,0.0000714,-4.1463,-5.254,-4.1816,0.922,1.2877471358
S2-16,T0_S2-16,S2,D,Fe,R1,0,0.0004,0.0004,-3.3982,NA,-3.3982,1,1.5707963268
S2-25,T0_S2-25,S2,D,Fe,R1,0,0.000164,0.000164,-3.784,NA,-3.784,1,1.5707963268
S2-31,T0_S2-31,S2,D,Fe,R2,0.000000334,0.000492,0.000493,-3.3073,-6.476,-3.3076,0.9993,1.544335726
S2-4,T0_S2-4,S2,D,Fe,R2,0.000000334,0.000255,0.000255,-3.5926,-6.4758,-3.5932,0.9987,1.5347329974
S3-11,T0_S3-11,S3,DC,Fe,R2,0.000166,0.00121,0.00138,-2.8611,-3.7805,-2.9169,0.8796,1.2164397056
S3-12,T0_S3-12,S3,D,Fe,R1,0.00000947,0.000436,0.000446,-3.3509,-5.0236,-3.3602,0.9788,1.4246746971
S3-6,T0_S3-6,S3,DC,Fe,R1,0.0000718,0.000549,0.00062,-3.2074,-4.144,-3.2608,0.8843,1.2237230839
S3-7,T0_S3-7,S3,DC,Fe,R2,0.000289,0.00067,0.000959,-3.018,-3.5388,-3.1738,0.6985,0.9895211167
S4-11,T0_S4-11,S4,DC,Fe,R1,0.000136,0.000788,0.000924,-3.0343,-3.8658,-3.1035,0.8526,1.1767507586
S4-26,T0_S4-26,S4,D,Fe,R2,0.0000458,0.000488,0.000534,-3.2724,-4.339,-3.3114,0.9142,1.273520752
S4-28,T0_S4-28,S4,D,Fe,R2,0.0000051,0.000367,0.000372,-3.4298,-5.2923,-3.4358,0.9863,1.4534804092
S4-9,T0_S4-9,S4,DC,Fe,R1,0.000706,0.00069,0.0014,-2.855,-3.151,-3.1611,0.4942,0.7795980333
S5-13,T0_S5-13,S5,D,Fe,R2,0,0.000463,0.000463,-3.3346,NA,-3.3346,1,1.5707963268
S5-14,T0_S5-14,S5,D,Fe,R1,0,0.000784,0.000784,-3.106,NA,-3.106,1,1.5707963268
S5-23,T0_S5-23,S5,D,Fe,R2,0.00000379,0.000454,0.000458,-3.3391,-5.4219,-3.3427,0.9917,1.4795654903
S5-25,T0_S5-25,S5,D,Fe,R1,0.00000216,0.000506,0.000508,-3.294,-5.665,-3.2958,0.9957,1.5051748554
S6-1,T0_S6-1,S6,D,Fe,R1,0.0000059,0.00132,0.00133,-2.8773,-5.2294,-2.8792,0.9956,1.5044150906
S6-12,T0_S6-12,S6,D,Fe,R1,0.000166,0.0169,0.0171,-1.767,-3.7803,-1.7712,0.9903,1.4721478265
S6-15,T0_S6-15,S6,D,Fe,R2,0.00000282,0.000472,0.000475,-3.3233,-5.5501,-3.3259,0.9941,1.4939091368
S6-21,T0_S6-21,S6,D,Fe,R2,0,0.000204,0.000204,-3.6908,NA,-3.6908,1,1.5707963268
S1-17,T0_S1-17,S1,D,N,R1,0.0000051,0.0000686,0.0000737,-4.1324,-5.2924,-4.1635,0.9308,1.3046048899
S1-25,T0_S1-25,S1,C,N,R1,0.0000633,0,0.0000633,-4.1987,-4.1987,NA,0,0
S1-30,T0_S1-30,S1,DC,N,R2,0.0000111,0.0000254,0.0000365,-4.4373,-4.9544,-4.5947,0.696,0.9868004552
S1-8,T0_S1-8,S1,D,N,R2,0.00000907,0.0000933,0.000102,-3.9898,-5.0423,-4.0301,0.9114,1.2685583127
S2-18,T0_S2-18,S2,D,N,R2,0,0.000394,0.000394,-3.4043,NA,-3.4043,1,1.5707963268
S2-21,T0_S2-21,S2,D,N,R1,0,0.000191,0.000191,-3.7199,NA,-3.7199,1,1.5707963268
S2-24,T0_S2-24,S2,D,N,R1,0,0.000268,0.000268,-3.5714,NA,-3.5714,1,1.5707963268
S2-7,T0_S2-7,S2,D,N,R2,0,0.000373,0.000373,-3.4285,NA,-3.4285,1,1.5707963268
S3-10,T0_S3-10,S3,D,N,R1,0.0000247,0.000267,0.000292,-3.5349,-4.6079,-3.5732,0.9155,1.2758496426
S3-25,T0_S3-25,S3,D,N,R2,0.00000404,0.000761,0.000765,-3.1166,-5.3941,-3.1189,0.9947,1.4979307664
S3-30,T0_S3-30,S3,D,N,R2,0.0000299,0.000868,0.000898,-3.0466,-4.5247,-3.0613,0.9667,1.3872851866
S3-8,T0_S3-8,S3,DC,N,R1,0.000224,0.000418,0.000642,-3.1922,-3.649,-3.3788,0.6507,0.9384784595
S4-19,T0_S4-19,S4,DC,N,R1,0.0000741,0.000307,0.000381,-3.4193,-4.1303,-3.5132,0.8055,1.1140597592
S4-22,T0_S4-22,S4,DC,N,R2,0.000205,0.000537,0.000742,-3.1295,-3.6884,-3.2698,0.7239,1.0175498317
S4-29,T0_S4-29,S4,D,N,R1,0.0000551,0.000637,0.000692,-3.1597,-4.2592,-3.1957,0.9205,1.2849626058
S4-7,T0_S4-7,S4,DC,N,R2,0.000155,0.000517,0.000672,-3.1727,-3.8108,-3.2862,0.7699,1.070497915
S5-11,T0_S5-11,S5,D,N,R1,0,0.000193,0.000193,-3.7137,NA,-3.7137,1,1.5707963268
S5-17,T0_S5-17,S5,D,N,R2,0.00000615,0.00132,0.00132,-2.8782,-5.2114,-2.8802,0.9954,1.5029209212
S5-18,T0_S5-18,S5,D,N,R2,0.0000653,0.00169,0.00175,-2.7567,-4.1851,-2.7732,0.9627,1.3764429981
S5-7,T0_S5-7,S5,D,N,R1,0.000000165,0.000314,0.000314,-3.5026,-6.7821,-3.5028,0.9995,1.5484337832
S6-24,T0_S6-24,S6,D,N,R1,0.000000953,0.000431,0.000432,-3.3645,-6.0211,-3.3654,0.9978,1.523874954
S6-27,T0_S6-27,S6,D,N,R2,0.000000642,0.00169,0.00169,-2.7717,-6.1925,-2.7719,0.9996,1.5507949932
S6-28,T0_S6-28,S6,D,N,R1,0.00000125,0.000515,0.000516,-3.287,-5.9041,-3.288,0.9976,1.5217869148
S6-29,T0_S6-29,S6,D,N,R2,0,0.0017,0.0017,-2.7707,NA,-2.7707,1,1.5707963268
S1-11,T0_S1-11,S1,DC,NP,R2,0.0000613,0.0000111,0.0000724,-4.1403,-4.2127,-4.9541,0.1535,0.4025771518
S1-14,T0_S1-14,S1,C,NP,R2,0.000031,0.000000198,0.0000312,-4.5063,-4.5091,-6.703,0.0064,0.08008558
S1-15,T0_S1-15,S1,DC,NP,R1,0.0000653,0.00000867,0.0000739,-4.1312,-4.1854,-5.0618,0.1173,0.3495668391
S1-24,T0_S1-24,S1,C,NP,R1,0.00652,0,0.00652,-2.1856,-2.1856,NA,0,0
