Core,Sample,Colony,Community,Treatment,Repli,C.SH_3,D.SH_3,tot.SH_3,logTot.SH_3,logC.SH_3,logD.SH_3,D.Prp_3,D.Prop.t_3
S1-10,T3_S1-10,S1,C,C,R1,0.0000794,0.00000714,0.0000866,-4.0626,-4.1,-5.1464,0.0825,0.2913317708
S1-13,T3_S1-13,S1,C,C,R2,0.000032,0,0.000032,-4.4945,-4.4945,NA,0,0
S1-23,T3_S1-23,S1,DC,C,R2,0.0000173,0.00000761,0.0000249,-4.6035,-4.7617,-5.1189,0.3052,0.585299546
S1-26,T3_S1-26,S1,C,C,R1,0.000042,0,0.000042,-4.3771,-4.3771,NA,0,0
S2-10,T3_S2-10,S2,D,C,R2,0.00000871,0.000203,0.000211,-3.6752,-5.0602,-3.6934,0.9588,1.3663982216
S2-11,T3_S2-11,S2,D,C,R1,0,0.000807,0.000807,-3.0931,NA,-3.0931,1,1.5707963268
S2-2,T3_S2-2,S2,D,C,R2,0,0.000278,0.000278,-3.5552,NA,-3.5552,1,1.5707963268
S2-22,T3_S2-22,S2,D,C,R1,0,0.00053,0.00053,-3.2756,NA,-3.2756,1,1.5707963268
S3-18,T3_S3-18,S3,C,C,R1,0.00354,0.000244,0.00378,-2.4226,-2.4516,-3.6133,0.0645,0.2567810889
S3-20,T3_S3-20,S3,DC,C,R2,0.000732,0.000163,0.000895,-3.0483,-3.1357,-3.7875,0.1823,0.4411349526
S3-29,T3_S3-29,S3,C,C,R1,0.00383,0.000262,0.00409,-2.3883,-2.4171,-3.581,0.0642,0.2561697802
S3-4,T3_S3-4,S3,C,C,R2,0.00118,0.0000523,0.00124,-2.9082,-2.9269,-4.2813,0.0424,0.2073962037
S4-12,T3_S4-12,S4,DC,C,R1,0.00171,0.000343,0.00206,-2.6865,-2.7658,-3.4642,0.1669,0.4208472972
S4-24,T3_S4-24,S4,DC,C,R2,0.000633,0.000102,0.000735,-3.1338,-3.1988,-3.991,0.1389,0.3819093123
S4-3,T3_S4-3,S4,C,C,R2,0.000599,0.0000342,0.000633,-3.1986,-3.2228,-4.4654,0.0541,0.2347440543
S4-8,T3_S4-8,S4,C,C,R1,0.0031,0.000226,0.00332,-2.4787,-2.5093,-3.6461,0.068,0.2638177411
S5-10,T3_S5-10,S5,DC,C,R2,0.00164,0.000467,0.00211,-2.6763,-2.7852,-3.3307,0.2217,0.4902543504
S5-15,T3_S5-15,S5,D,C,R2,0.000028,0.000724,0.000752,-3.1239,-4.5522,-3.1404,0.9627,1.3764429981
S5-24,T3_S5-24,S5,D,C,R1,0.0000492,0.00321,0.00326,-2.4864,-4.3077,-2.493,0.9849,1.4476028959
S5-9,T3_S5-9,S5,DC,C,R1,0.00169,0.00497,0.00666,-2.1768,-2.7721,-2.304,0.7461,1.0427058071
S6-20,T3_S6-20,S6,D,C,R1,0.000118,0.00965,0.00977,-2.0102,-3.929,-2.0154,0.9879,1.4605732768
S6-23,T3_S6-23,S6,D,C,R2,0.00000664,0.00161,0.00162,-2.7914,-5.1777,-2.7932,0.9959,1.5067212488
S6-26,T3_S6-26,S6,D,C,R2,0.0000297,0.00328,0.00331,-2.4808,-4.5268,-2.4848,0.991,1.4757851151
S6-5,T3_S6-5,S6,D,C,R1,0.0000433,0.00272,0.00277,-2.5578,-4.3636,-2.5647,0.9844,1.4455693259
S1-20,T3_S1-20,S1,DC,CO2,R2,0.000032,0.0001,0.000132,-3.8784,-4.4944,-3.9988,0.7579,1.0563687599
S1-21,T3_S1-21,S1,DC,CO2,R1,0.000032,0.0000821,0.000114,-3.943,-4.4955,-4.0858,0.7198,1.0129748067
S1-29,T3_S1-29,S1,DC,CO2,R1,0.0000198,0.000114,0.000134,-3.8741,-4.7044,-3.9436,0.8522,1.1761869065
S1-3,T3_S1-3,S1,C,CO2,R2,0.000109,0.00000337,0.000112,-3.9499,-3.9631,-5.4724,0.03,0.1740830106
