Core,Sample,Colony,Community,Treatment,Repli,C.SH_1,D.SH_1,tot.SH_1,logTot.SH_1,logC.SH_1,logD.SH_1,D.Prp_1,D.Prop.t_1
S1-10,T1_S1-10,S1,DC,C,R1,0.0000287,0.0000338,0.0000625,-4.2044,-4.542,-4.4717,0.5404,0.8258422526
S1-13,T1_S1-13,S1,C,C,R2,0.0000508,0.00000147,0.0000522,-4.2819,-4.2943,-5.8319,0.0282,0.1687280076
S1-23,T1_S1-23,S1,DC,C,R2,0.00000609,0.0000336,0.0000397,-4.4014,-5.2156,-4.4737,0.8466,1.1683579018
S1-26,T1_S1-26,S1,C,C,R1,0.0000443,0,0.0000443,-4.3531,-4.3531,NA,0,0
S2-10,T1_S2-10,S2,D,C,R2,0,0.000495,0.000495,-3.3057,NA,-3.3057,1,1.5707963268
S2-11,T1_S2-11,S2,D,C,R1,0,0.000562,0.000562,-3.2505,NA,-3.2505,1,1.5707963268
S2-2,T1_S2-2,S2,D,C,R2,0,0.000508,0.000508,-3.2942,NA,-3.2942,1,1.5707963268
S2-22,T1_S2-22,S2,D,C,R1,0.000000269,0.000423,0.000423,-3.3734,-6.5706,-3.3737,0.9994,1.5462989792
S3-18,T1_S3-18,S3,DC,C,R1,0.0000893,0.00039,0.000484,-3.3153,-4.0491,-3.4085,0.8068,1.1157040289
S3-20,T1_S3-20,S3,D,C,R2,0.0000779,0.000822,0.000912,-3.0399,-4.1085,-3.0852,0.9011,1.2508836134
S3-29,T1_S3-29,S3,DC,C,R1,0.000175,0.00105,0.00123,-2.9085,-3.7563,-2.9804,0.8474,1.1694690523
S3-4,T1_S3-4,S3,DC,C,R2,0.000385,0.000559,0.000943,-3.0253,-3.4151,-3.2526,0.5924,0.87833234
S4-12,T1_S4-12,S4,DC,C,R1,0.000666,0.000557,0.00122,-2.9126,-3.1767,-3.254,0.4557,0.7410399988
S4-24,T1_S4-24,S4,DC,C,R2,0.000379,0.000573,0.000951,-3.0216,-3.4219,-3.2419,0.6021,0.8882213724
S4-3,T1_S4-3,S4,DC,C,R2,0.000663,0.000683,0.00135,-2.8709,-3.1782,-3.1657,0.5072,0.7925984123
S4-8,T1_S4-8,S4,DC,C,R1,0.00054,0.000292,0.000833,-3.0795,-3.2673,-3.534,0.3511,0.6342045329
S5-10,T1_S5-10,S5,DC,C,R2,0.000184,0.000533,0.000717,-3.1445,-3.7346,-3.2735,0.743,1.0391516748
S5-15,T1_S5-15,S5,D,C,R2,0.00000618,0.00136,0.00137,-2.8636,-5.2094,-2.8656,0.9955,1.5036638738
S5-9,T1_S5-9,S5,D,C,R1,0.0000739,0.00123,0.00131,-2.8837,-4.1314,-2.909,0.9435,1.3308018243
S6-23,T1_S6-23,S6,D,C,R2,0,0.0018,0.0018,-2.7447,NA,-2.7447,1,1.5707963268
S6-26,T1_S6-26,S6,D,C,R2,0,0.00101,0.00101,-2.9944,NA,-2.9944,1,1.5707963268
S1-20,T1_S1-20,S1,DC,CO2,R2,0.0000142,0.000101,0.000116,-3.9373,-4.8478,-3.9943,0.8771,1.2126156388
S1-21,T1_S1-21,S1,DC,CO2,R1,0.0000149,0.0000706,0.0000855,-4.0681,-4.8271,-4.1512,0.8258,1.1402440549
S1-29,T1_S1-29,S1,D,CO2,R1,0.00000715,0.0000695,0.0000766,-4.1156,-5.146,-4.1581,0.9068,1.260556786
